,0,1
0,FT,thrustlondon
1,FT,alanacoates
2,FT,SteveBirdNUJ
3,FT,lilahrap
4,FT,davidallengreen
5,FT,sdbernard
6,FT,cornishft
7,FT,donweinland
8,FT,MsHannahMurphy
9,FT,KangHexin
10,FT,KyriakosGeorge
11,FT,ifwross
12,FT,GregoryBollibot
13,FT,emmaboyde
14,FT,RachelTaube
15,FT,GaryRSilverman
16,FT,BillyEhrenberg
17,FT,Frances_Coppola
18,FT,martinbrice1
19,FT,JARennison
20,FT,edwinheathcote
21,FT,ryanngastwirth
22,FT,Petercampbell1
23,FT,aliya__ram
24,FT,greenmiranda
25,FT,jdye
26,FT,JavierespFT
27,FT,gideon_long
28,FT,MehreenKhn
29,FT,adamsamson
30,FT,davidjlynch
31,FT,janeecroft
32,FT,NicFildes
33,FT,joshspero
34,FT,hancocktom
35,FT,theboysmithy
36,FT,nilanjanaroy
37,FT,Jderbyshire
38,FT,chealie
39,FT,EmDunks
40,FT,annaknicolaou
41,FT,alicemuwu
42,FT,alexandrascaggs
43,FT,HornbyLucy
44,FT,charles_clover
45,FT,shannonzoe11
46,FT,LaurenLeatherby
47,FT,madhumita29
48,FT,YuanfenYang
49,FT,hheals
50,FT,LaurenFedor
51,FT,patricianilsson
52,FT,bryanhimself
53,FT,mjruehl
54,FT,maxseddon
55,FT,officeofjane
56,FT,tom_griggs
57,FT,HarrietAgnew
58,FT,moiseiwitsch
59,FT,louiseflucas
60,FT,KuperSimon
61,FT,AttractaMooney
62,FT,JoshuaChaffin
63,FT,MariaFitz1
64,FT,NicholasMegaw
65,FT,ChloeNCornish
66,FT,JamesShotter
67,FT,gillplimmer1
68,FT,davidcblood
69,FT,PSMcClean
70,FT,ArthurBeesley
71,FT,paul_d_gould
72,FT,BondHack
73,FT,chrisflood_FTfm
74,FT,gordonersmith
75,FT,WaldmeirPatti
76,FT,fthealth
77,FT,robowers
78,FT,kinura
79,FT,C_BruceLockhart
80,FT,SladeJon
81,FT,ftforums
82,FT,urshlier
83,FT,MalcolmMoore
84,FT,VanessaHoulder1
85,FT,LHSummers
86,FT,elerianm
87,FT,tomhannen
88,FT,RanaForoohar
89,FT,anjahuja
90,FT,simon_schama
91,FT,MartinSLewis
92,FT,federicacocco
93,FT,griseldamb
94,FT,RaphAbraham
95,FT,ncbrooker
96,FT,AIMGilmour
97,FT,jgrovum
98,FT,callumlocke
99,FT,grimes_ce
100,FT,patrickjenkins_
101,FT,gemmatetlow
102,FT,theresa_may
103,FT,michaelgove
104,FT,AimeePKeane
105,FT,mdc
106,FT,nikkeilive
107,FT,NAR
108,FT,benmarinojourno
109,FT,jswatz
110,FT,philipstephens
111,FT,meyer_g6
112,FT,SandersonRach
113,FT,battlelaura
114,FT,SebastianEPayne
115,FT,JancisRobinson
116,FT,PrimeministerGR
117,FT,JunckerEU
118,FT,atsipras
119,FT,tsipras_eu
120,FT,Ana_elizabeth6
121,FT,hugorifkind
122,FT,Hugodixon
123,FT,peter_tl
124,FT,hannahdormido
125,FT,mariacrawford74
126,FT,johnsunyer
127,FT,rkapkap
128,FT,naomi_rovnick
129,FT,RichardBlackden
130,FT,cynthiao
131,FT,Jane_Owen
132,FT,CGAThompson
133,FT,LauraNoonanFT
134,FT,siva_thasan
135,FT,mamtabadkar
136,FT,AChilkoti
137,FT,neilos49
138,FT,MaggieFick
139,FT,NathalieThomas3
140,FT,a_zeisler
141,FT,jimbrunsden
142,FT,ndreasp
143,FT,MESandbu
144,FT,nikkei
145,FT,clivecookson
146,FT,aqbyrne
147,FT,gabewildau
148,FT,jellison
149,FT,daviesally
150,FT,ErikaSolomon
151,FT,Najmeh_Tehran
152,FT,GautamMalkani
153,FT,DyerGeoff
154,FT,NeilRBuckley
155,FT,nicoleabullock
156,FT,Petetweets1
157,FT,MPJVincent
158,FT,lindsfortado
159,FT,osullivan65Tom
160,FT,OilSheppard
161,FT,hjesanderson
162,FT,adamjones140
163,FT,confordpark
164,FT,MerrynSW
165,FT,deniselaw_
166,FT,JoelLewin
167,FT,EmikoTerazono
168,FT,alekswis
169,FT,kadhim
170,FT,Gilesyb
171,FT,M_C_Klein
172,FT,BillClinton
173,FT,Niketa
174,FT,FLOTUS
175,FT,FLOTUS44
176,FT,POTUS
177,FT,POTUS44
178,FT,V_Kortekaas
179,FT,katie_martin_fx
180,FT,darrendodd
181,FT,mj_stott
182,FT,johnthornhillft
183,FT,gilliantett
184,FT,JudithREvans
185,FT,John_Ridding
186,FT,muradahmed
187,FT,pilitaclark
188,FT,jeevanvasagar
189,FT,christinespolar
190,FT,Sam1Fleming
191,FT,AndyBounds
192,FT,carola_hoyos
193,FT,scott_abbie
194,FT,JamilAnderlini
195,FT,IsabelBerwick
196,FT,SophiaGrene
197,FT,emmalbowkett
