,0,1
1,FT,thrustlondon
2,FT,alanacoates
3,FT,SteveBirdNUJ
4,FT,lilahrap
5,FT,davidallengreen
6,FT,sdbernard
7,FT,cornishft
8,FT,donweinland
9,FT,MsHannahMurphy
10,FT,KangHexin
11,FT,KyriakosGeorge
12,FT,ifwross
13,FT,GregoryBollibot
14,FT,emmaboyde
15,FT,RachelTaube
16,FT,GaryRSilverman
17,FT,BillyEhrenberg
18,FT,Frances_Coppola
19,FT,martinbrice1
20,FT,JARennison
21,FT,edwinheathcote
22,FT,ryanngastwirth
23,FT,Petercampbell1
24,FT,aliya__ram
25,FT,greenmiranda
26,FT,jdye
27,FT,JavierespFT
28,FT,gideon_long
29,FT,MehreenKhn
30,FT,adamsamson
31,FT,davidjlynch
32,FT,janeecroft
33,FT,NicFildes
34,FT,joshspero
35,FT,hancocktom
36,FT,theboysmithy
37,FT,nilanjanaroy
38,FT,Jderbyshire
39,FT,chealie
40,FT,EmDunks
41,FT,annaknicolaou
42,FT,alicemuwu
43,FT,alexandrascaggs
44,FT,HornbyLucy
45,FT,charles_clover
46,FT,shannonzoe11
47,FT,LaurenLeatherby
48,FT,madhumita29
49,FT,YuanfenYang
50,FT,hheals
51,FT,LaurenFedor
52,FT,patricianilsson
53,FT,bryanhimself
54,FT,mjruehl
55,FT,maxseddon
56,FT,officeofjane
57,FT,tom_griggs
58,FT,HarrietAgnew
59,FT,moiseiwitsch
60,FT,louiseflucas
61,FT,KuperSimon
62,FT,AttractaMooney
63,FT,JoshuaChaffin
64,FT,MariaFitz1
65,FT,NicholasMegaw
66,FT,ChloeNCornish
67,FT,JamesShotter
68,FT,gillplimmer1
69,FT,davidcblood
70,FT,PSMcClean
71,FT,ArthurBeesley
72,FT,paul_d_gould
73,FT,BondHack
74,FT,chrisflood_FTfm
75,FT,gordonersmith
76,FT,WaldmeirPatti
77,FT,fthealth
78,FT,robowers
79,FT,kinura
80,FT,C_BruceLockhart
81,FT,SladeJon
82,FT,ftforums
83,FT,urshlier
84,FT,MalcolmMoore
85,FT,VanessaHoulder1
86,FT,LHSummers
87,FT,elerianm
88,FT,tomhannen
89,FT,RanaForoohar
90,FT,anjahuja
91,FT,simon_schama
92,FT,MartinSLewis
93,FT,federicacocco
94,FT,griseldamb
95,FT,RaphAbraham
96,FT,ncbrooker
97,FT,AIMGilmour
98,FT,jgrovum
99,FT,callumlocke
100,FT,grimes_ce
101,FT,patrickjenkins_
102,FT,gemmatetlow
103,FT,theresa_may
104,FT,michaelgove
105,FT,AimeePKeane
106,FT,mdc
107,FT,nikkeilive
108,FT,NAR
109,FT,benmarinojourno
110,FT,jswatz
111,FT,philipstephens
112,FT,meyer_g6
113,FT,SandersonRach
114,FT,battlelaura
115,FT,SebastianEPayne
116,FT,JancisRobinson
117,FT,PrimeministerGR
118,FT,JunckerEU
119,FT,atsipras
120,FT,tsipras_eu
